Color,Continent,Country,GDP,Males %,Females %,Suicide Rate per 1M,Schizophrenia %,Bipolar %,Eating Disorder %,Anxiety %,Depression %,Substance Misuse per 1M
6,Asia,Afghanistan,585.85,17.73028964,17.53283285,10.10540554,0.159493958,0.760363155,0.088102954,5.023055378,4.404727497,17464.40319
3,Africa,Algeria,4123.39,16.49941671,16.51552487,3.70042971,0.199487678,0.868838716,0.181440582,5.249814553,3.946200241,15749.36679
18,Oceania,American Samoa,4360.75,13.89867206,12.80756075,7.066210712,0.338390546,0.480389574,0.123188173,3.582901445,3.252115371,12704.55515
21,South America,Argentina,14401.91,17.6950168,19.43349108,11.19883431,0.206244754,0.901662212,0.25664765,6.368156597,3.839974683,17201.52542
9,Australia,Australia,53799.94,22.03182925,21.19315996,10.46811402,0.373657448,1.476688759,0.39932857,6.607629492,4.949713878,19322.56673
12,Europe,Austria,47290.91,17.04509571,17.4634487,12.5974269,0.267902893,1.125464504,0.53123857,5.436621522,3.482647791,15900.1105
15,North America,Bahamas,30762.01,16.6102245,14.92018385,3.09126698,0.206106385,0.896057839,0.212784783,4.301730781,3.16907407,15100.44533
6,Asia,Bahrain,23655.04,16.60889377,16.47926899,6.968741087,0.20887748,0.853722474,0.224310356,4.813715115,4.159016171,15902.30329
6,Asia,Bangladesh,1516.51,15.04488449,14.95281047,7.6355313,0.248876972,0.535905651,0.086824557,4.050596375,4.439594552,14729.54164
12,Europe,Belgium,43323.81,17.68927208,17.82572343,16.01964827,0.270837636,1.13500007,0.449202209,5.358790397,4.469739501,16075.75868
15,North America,Bermuda,85748.07,16.66770493,15.24774452,4.186271392,0.221786663,0.968451538,0.288791328,4.317340409,3.378901017,15165.07226
6,Asia,Bhutan,3110.23,15.96565383,14.72058667,6.962072251,0.260367635,0.541154244,0.110451964,3.766302495,3.720666011,14975.37785
21,South America,Bolivia,3393.96,15.58267419,14.90132459,7.20391523,0.200565895,0.859475262,0.163591838,4.21297233,3.455685993,14827.32617
