Date,User,v,a,Tweet
11-19-18 19:27,njjghtmares,5.46,4.2,gonna have to ask my dad to buy himself a ticket for bring me bc i have nobody to go with n my anxiety is too bad to travel to n from bham on my own lmao pray 4 me
11-19-18 19:27,Solliee,5.71,5.08,#220205_f18 The workshop event for how to over come your anxiety. In the American University in Cairo today is now taking place.
11-19-18 19:27,Mariam68824410,3.34,4.57,"""If I'm worried or sad it starts with the thinking"" -Ms. Badeed stated while explaining the cognitive approach in combating anxiety. #tito_ao"
11-19-18 19:27,imnotsharpie,5.31,4.35,omg my nose is so stuffy and i can t breathe which leads to anxiety attacks that just make it even harder to breathe and i am just miserable https://t.co/jLRmlqZfDR
11-19-18 19:27,RickJWaghorn,4.95,4.72,RT @NorwichCityMFW: NEW - Respect to Eadie and Anselin for their openness - anxiety and depression don't discriminate [Martin Penney] https://t.co/QaOx8GjVKi
11-19-18 19:27,DianeOl20918490,5.8,4.78,"RT @hgmackinnon: #MentalIllnessMeans that the mere thought of doing otherwise run-of-the-mill activities (e.g. leaving the house, much less going grocery shopping!) that many people take for granted, causesdebilitating anxiety to countless people. #SickNotWeak"
11-19-18 19:27,leeeeeeky,4.09,4.64,anxiety hurts you in so many other ways than just mentally
11-19-18 19:27,Alic05657973,5.24,4.97,RT @Alex_Bertie: New video lads! This is how I'm destroying my anxiety: https://t.co/ebkjipKzAi
11-19-18 19:27,harrisonmumia,5.81,4.37,"Grades (MARKS) might possibly be the most superficial social construct we have created to hierarchically organize students into a pyramid of intelligence, or lack thereof.  They do nothing but incite competition and endless anxiety.  REMEMBER, you are NOT your grades. #KCPE2018"
11-19-18 19:27,pongskiesky,5.07,4.21,@prcboard yan nanaman kayo you are giving us ANXIETY UGHH
11-19-18 19:27,slvtkook,5.7,4.36,it's really taking every part of me not to just stay home and isolate myself in my room all day like i'm trying so hard to convince myself i'll be fine my anxiety
11-19-18 19:27,Alic05657973,4.58,5.17,RT @Metro_Ents: YouTuber @Alex_Bertie destroyed his anxiety in a pretty unusual way https://t.co/aZo14jajUz
11-19-18 19:27,nahyochae,5.3,4.53,@yeojinscafe i mean technically? yeah but i know my anxiety would really struggle sharing the space with someone so i have to weigh up what s easier to manage i guess
11-19-18 19:27,iconic_lee,4.97,4.25,"RT @Miss__Nomer: I, allow with other female patients are being harassed by a creepy male patient and I've reported him thrice. Like I'm already here severe depression and anxiety, I don't need this extra shit."
11-19-18 19:27,__Hersh__,4.17,4.01,Anxiety ??
11-19-18 19:27,siantakesphotos,6.08,4.75,Sometimes I go see bands alone because I fuckin love music!! But pls post set times so I never had that awkward hour between doors and first band just standing there wanting to throw up from social anxiety likedudeeeeee running laps from bathroom is not a fun night
