Color,Continent,Country,GDP,Males %,Females %,Suicide Rate per 1M,Schizophrenia %,Bipolar %,Eating Disorder %,Anxiety %,Depression %,Substance Misuse per 1M
-600,1,Afghanistan,585.85,17.73,17.53,10.11,0.16,0.76,0.09,5.02,4.4,17464.4
-400,4,Albania,4357.86,14.28,13.39,5.67,0.23,0.67,0.11,3.56,2.45,12999
-700,2,Algeria,4123.39,16.5,16.52,3.7,0.2,0.87,0.18,5.25,3.95,15749.37
-300,6,American Samoa,4360.75,13.9,12.81,7.07,0.34,0.48,0.12,3.58,3.25,12704.56
-400,4,Andorra,39146.55,16.75,17.41,8.28,0.27,1.15,0.5,5.42,4,15775.13
-700,2,Angola,4170.31,16.34,14.92,10.6,0.2,0.62,0.11,3.27,4.72,15430.12
-200,5,Antigua and Barbuda,15021.74,16.72,14.96,2.25,0.21,0.93,0.21,4.32,3.13,15204.7
-100,7,Argentina,14401.91,17.7,19.43,11.2,0.21,0.9,0.26,6.37,3.84,17201.53
-600,1,Armenia,3936.8,14.74,12.63,7.38,0.22,0.67,0.1,2.76,3.07,12901
-500,3,Australia,53799.94,22.03,21.19,10.47,0.37,1.48,0.4,6.61,4.95,19322.57
-400,4,Austria,47290.91,17.05,17.46,12.6,0.27,1.13,0.53,5.44,3.48,15900.11
-400,4,Azerbaijan,4131.62,15.64,12.47,4.13,0.22,0.65,0.12,2.71,2.85,13330.98
-200,5,Bahamas,30762.01,16.61,14.92,3.09,0.21,0.9,0.21,4.3,3.17,15100.45
-600,1,Bahrain,23655.04,16.61,16.48,6.97,0.21,0.85,0.22,4.81,4.16,15902.3
-600,1,Bangladesh,1516.51,15.04,14.95,7.64,0.25,0.54,0.09,4.05,4.44,14729.54
-200,5,Barbados,16788.78,16.42,15,4.88,0.23,0.92,0.19,4.32,3.32,15036.39
-400,4,Belarus,5726.03,17.63,16.5,22.96,0.21,0.66,0.13,2.98,4.4,16096.82
-400,4,Belgium,43323.81,17.69,17.83,16.02,0.27,1.14,0.45,5.36,4.47,16075.76
-200,5,Belize,4905.51,16.85,14.95,7.86,0.2,0.88,0.15,4.25,3.4,15315.64
-700,2,Benin,829.2,15.77,14.81,13.88,0.19,0.63,0.08,2.98,4.16,15141.68
-200,5,Bermuda,85748.07,16.67,15.25,4.19,0.22,0.97,0.29,4.32,3.38,15165.07
-600,1,Bhutan,3110.23,15.97,14.72,6.96,0.26,0.54,0.11,3.77,3.72,14975.38
-100,7,Bolivia,3393.96,15.58,14.9,7.2,0.2,0.86,0.16,4.21,3.46,14827.33
-400,4,Bosnia and Herzegovina,5180.64,15.85,13.92,7.31,0.23,0.67,0.11,3.52,2.56,14108.79
-700,2,Botswana,7595.6,17.27,14.73,17.63,0.21,0.62,0.15,3.6,4.4,15668.02
-100,7,Brazil,9821.41,17.92,18.03,6.37,0.21,1.1,0.18,6.14,3.72,17414.44
-600,1,Brunei,28290.59,14.19,13.34,4.75,0.29,0.66,0.33,3.8,2.93,12444.23
-400,4,Bulgaria,8031.6,14.47,13.52,10.7,0.23,0.59,0.13,3.58,2.79,13282.28
-700,2,Burkina Faso,670.71,15.81,14.83,12.88,0.19,0.62,0.07,2.98,4.21,15269.5
-700,2,Burundi,320.09,17.49,15.93,14.63,0.18,0.62,0.06,3.37,4.28,16395.67
-600,1,Cambodia,1384.42,14.14,13.12,6.63,0.26,0.53,0.07,3.62,3.38,13290.17
-700,2,Cameroon,1446.7,15.69,14.8,16.94,0.19,0.63,0.09,2.98,4.32,15061.92
-200,5,Canada,45032.12,19.73,18.21,10.87,0.33,0.87,0.31,5.55,4,17064.95
-700,2,Cape Verde,3209.69,16.42,14.57,20.14,0.22,0.69,0.11,3.06,4.63,15008.01
-700,2,Chad,669.89,15.73,15.17,10.01,0.19,0.62,0.08,2.96,4.48,15366.57
-100,7,Chile,15346.45,18.14,19.95,10.89,0.21,0.91,0.26,6.3,4.22,17748.14
-600,1,China,8826.99,15.56,13.75,8.54,0.45,0.32,0.11,3.2,3.68,13821.68
-100,7,Colombia,6301.59,13.85,11.33,5.68,0.21,0.76,0.19,2.58,2.38,12138.77
-700,2,Comoros,797.29,16.03,14.89,8.74,0.19,0.64,0.07,3.34,3.72,15308.03
-700,2,Congo,457.85,16.1,14.83,10.79,0.19,0.61,0.1,3.24,4.55,15357.51
-200,5,Costa Rica,11630.67,14.09,12.43,6.76,0.22,0.84,0.17,2.96,3.13,12662.72
